pr_auc,failure_recall,failure_precision,balanced_accuracy,mcc,brier_score,capture_at_budget,threshold,fit_seconds,inference_seconds,model,protocol,fold
0.06692160611854685,0.0,0.0,0.5,0.0,0.06244379307566057,0.02857142857142857,0.5,0.07159762500009492,0.009333458999890354,dummy,repeated_cv,1
0.06513409961685823,0.0,0.0,0.5,0.0,0.060895076907720294,0.0,0.5,0.06922854100002951,0.008906249999881766,dummy,repeated_cv,2
0.06704980842911877,0.0,0.0,0.5,0.0,0.06255517426455,0.14285714285714285,0.5,0.06962687500003995,0.00916975000018283,dummy,repeated_cv,3
0.054140127388535034,0.0,0.0,0.5,0.0,0.05144285695664376,0.23529411764705882,0.5,0.07835099999988415,0.007967416999917987,dummy,temporal,1
0.16372968988590433,0.2857142857142857,0.20833333333333334,0.6039227166276346,0.17989413164124174,0.0624278123138917,0.3142857142857143,0.0664712509130146,0.3507401659999232,0.009474791999991794,logistic,repeated_cv,1
0.12547360421941425,0.17647058823529413,0.125,0.5452025072324012,0.07720263082825578,0.06088672289726608,0.17647058823529413,0.06724453387581639,0.38611650000007103,0.010743625000031898,logistic,repeated_cv,2
0.05076682202464085,0.7142857142857143,0.054466230936819175,0.41155764153710767,-0.13580388563401022,0.06255916686221476,0.0,0.06609943982382402,0.42347804199994243,0.010185332999981256,logistic,repeated_cv,3
0.03471632801451035,0.7647058823529411,0.0436241610738255,0.4025549613784908,-0.20055074966056563,0.06412279398631544,0.0,0.069114246977973,0.41294087500000387,0.008688249999977415,logistic,temporal,1
0.18671668490011023,0.2857142857142857,0.20408163265306123,0.6028981264637002,0.17647946776316714,0.06224901537175722,0.2857142857142857,0.06301812782108011,29.57513116600012,0.010741584000015791,catboost,repeated_cv,1
0.1733370452911229,0.29411764705882354,0.14705882352941177,0.587632594021215,0.12848802390282651,0.06057852021927336,0.23529411764705882,0.06433551036009255,28.30506941700014,0.01053991600019799,catboost,repeated_cv,2
0.14033866274221468,0.34285714285714286,0.18181818181818182,0.6159870929891464,0.17457569235258885,0.062411409761882045,0.2857142857142857,0.0627841634836138,29.745407415999807,0.010944583000082275,catboost,repeated_cv,3
0.04827302984216538,0.0,0.0,0.4781144781144781,-0.04972040578262127,0.05152579299161441,0.058823529411764705,0.07199982289336793,28.783016083999883,0.009515333000081228,catboost,temporal,1
